ИСУ,Номер темы,Тип проекта,Наименование,Подразделение,Начало,Окончание,Ключевые слова,Регистрационная карта,Роль,Заказчик
1,421241,НИР,Разработка УФ-С фотодиода на основе Ga2O3,[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем,5/1/2021,12/31/2022,"оксид галлия, уф-с фотодиод, фотодиод",,Участник,Университет ИТМО
1,620164,НИР-ПОИСК,Методы искусственного интеллекта для киберфизических систем,[773] мегафакультет компьютерных технологий и управления,9/1/2020,6/30/2023,"искусственный интеллект, киберфизические системы",,Участник,Университет ИТМО
1,12440,НИР,Исследование фундаментальных процессов генерации и детектирования одиночных фотонов,[840] лаборатория однофотонных детекторов и генераторов,1/1/2020,12/31/2024,"квантовые оптические технологии, квантовые точки, нитевидные нанокристаллы, однофотонная генерация, однофотонное детектирование",АААА-А20-120031290033-6,Участник,МИНОБРНАУКИ РОССИИ
12,320356,Другие,"Всероссийская олимпиада студентов ""Я - профессионал"", третий сезон, 2020 год",[449] студенческое проектно-исследовательское бюро,1/1/2020,12/15/2021,"	информационные технологии, большие данные, информационная безопасность, кибербезопасность в банковской сфере, информационная фотоника, робототехника",,Участник,АССОЦИАЦИЯ «Я-ПРОФЕССИОНАЛ»
4,622276,Другие,Веб-сервис автоматизированного нормоконтроля оформления документов,[767] мегафакультет трансляционных информационных технологий,9/1/2022,6/30/2023,"nlp, нормоконтроль, парсинг документов",,Участник,Университет ИТМО
8,92133,Другие,Комплекс системных мер по созданию среды и развитию условий для подготовки высококвалифицированных кадров высокопроизводительного сектора экономики Российской Федерации,[980] химико-биологический кластер,7/8/2022,12/31/2023,,,Участник,МИНОБРНАУКИ РОССИИ
8,922010,НИР,"Data-Driven Nanomedicine/Наномедицина, основанная на данных",[980] химико-биологический кластер,1/1/2022,12/31/2023,data-driven nanomedicine,122032400134-8,Участник,МИНОБРНАУКИ РОССИИ
9,92133,Другие,Комплекс системных мер по созданию среды и развитию условий для подготовки высококвалифицированных кадров высокопроизводительного сектора экономики Российской Федерации,[980] химико-биологический кластер,7/8/2022,12/31/2023,,,Участник,МИНОБРНАУКИ РОССИИ
7,222084,НИР,Создание поточного анализатора для определения концентрации ингибиторов коррозии,"[1700] инновационный индустриальный центр ПАО ""Газпром нефть"" - Университет ИТМО",11/10/2022,12/31/2022,"анализатор, машинное обучение, робототехническая система, химия нефти и газа, электрохимические сенсоры",122122600030-9,Участник,"ПАО ""ГАЗПРОМ НЕФТЬ"""
7,922015,НИР,Научно-образовательный центр инфохимии,[638] научно-образовательный центр инфохимии,1/1/2022,12/31/2023,"инфохимия, молекулярно-упорядоченые структуры, системная химия, супрамолекулярная химия, цифровые открытия",122041400082-4,Участник,МИНОБРНАУКИ РОССИИ
7,12283,НИР,"Исследование интеллектуальных технологий в инфохимии для промышленного применения

",[806] лаборатория интеллектуальных технологий в инфохимии,9/29/2021,12/31/2023,"машинное обучение, наноструктурирование поверхности, нефтепродукты, электрохимия",121102100042-0,Участник,МИНОБРНАУКИ РОССИИ
2,419328,НИР,Разработка системы комплексной диагностики куриного яйца,[764] инженерно-исследовательский факультет,4/1/2019,6/30/2020,"анализ изображений, видеоинформационная система, куриное яйцо, люминесценция, структурный анализ",АААА-А19-119072590023-1,Участник,Университет ИТМО